Age,Income,Expences,Gender,Company,Loan
56,3029000,1847690,M,Rank 1,Accepted
29,796000,644760,M,Rank 2,Accepted
50,3011000,2167920,M,Rank 2,Accepted
46,2900000,2059000,M,Rank 1,Accepted
36,1746000,1361880,M,Rank 2,Accepted
56,3304000,2048480,M,Rank 1,Accepted
29,1081000,886420,M,Rank 2,Accepted
40,2334000,1423740,M,Rank 1,Accepted
44,2596000,1713360,M,Rank 1,Accepted
34,1149000,907710,M,Rank 2,Accepted
29,731000,621350,M,Rank 2,Accepted
32,1555000,1181800,M,Rank 1,Accepted
31,804000,667320,M,Rank 2,Accepted
34,1205000,927850,M,Rank 3,Accepted
36,1257000,967890,M,Rank 2,Accepted
60,3148000,2203600,M,Rank 1,Accepted
52,3203000,2210070,M,Rank 2,Accepted
58,3145000,1918450,M,Rank 2,Accepted
33,1658000,1293240,M,Rank 1,Accepted
51,3263000,2381990,M,Rank 1,Accepted
39,2121000,1293810,M,Rank 1,Accepted
60,3351000,2446230,M,Rank 2,Accepted
28,834000,675540,M,Rank 2,Accepted
26,886000,744240,M,Rank 2,Accepted
59,2738000,1807080,M,Rank 1,Accepted
43,1808000,1319840,M,Rank 2,Accepted
29,742000,623280,M,Rank 3,Accepted
57,2766000,1742580,M,Rank 1,Accepted
32,1753000,1384870,M,Rank 1,Accepted
46,2863000,2061360,M,Rank 1,Accepted
30,913000,766920,M,Rank 2,Accepted
27,922000,765260,M,Rank 2,Accepted
33,1246000,946960,M,Rank 2,Accepted
34,1708000,1298080,M,Rank 1,Accepted
41,2062000,1546500,M,Rank 2,Accepted
36,1319000,1015630,M,Rank 3,Accepted
48,2843000,1876380,M,Rank 1,Accepted
31,787000,653210,M,Rank 2,Accepted
58,3106000,2018900,M,Rank 2,Accepted
42,2223000,1600560,M,Rank 2,Accepted
35,1706000,1330680,M,Rank 1,Accepted
51,3160000,2338400,M,Rank 2,Accepted
32,1520000,1185600,M,Rank 1,Accepted
56,3044000,1978600,M,Rank 1,Accepted
31,761000,646850,M,Rank 3,Accepted
32,1303000,990280,M,Rank 2,Accepted
37,1664000,1264640,M,Rank 1,Accepted
50,3293000,2239240,M,Rank 3,Accepted
29,1069000,887270,M,Rank 2,Accepted
28,1033000,836730,M,Rank 2,Accepted
30,825000,676500,M,Rank 2,Accepted
49,2670000,1842300,M,Rank 1,Accepted
45,2770000,1772800,M,Rank 2,Accepted
47,2721000,1850280,M,Rank 3,Accepted
49,2795000,1816750,M,Rank 2,Accepted
54,3320000,2191200,M,Rank 1,Accepted
49,2515000,1886250,M,Rank 2,Accepted
48,2807000,2105250,M,Rank 3,Accepted
44,2528000,1693760,M,Rank 1,Accepted
56,3209000,2374660,M,Rank 1,Accepted
47,2519000,1536590,M,Rank 1,Accepted
56,2976000,1874880,M,Rank 1,Accepted
42,2060000,1380200,M,Rank 2,Accepted
52,3176000,2382000,M,Rank 2,Accepted
32,1513000,1165010,M,Rank 1,Accepted
34,1332000,1052280,M,Rank 2,Accepted
41,2127000,1425090,M,Rank 1,Accepted
38,1891000,1304790,M,Rank 1,Accepted
47,2659000,1994250,M,Rank 3,Accepted
44,2526000,1641900,M,Rank 1,Accepted
34,1206000,940680,M,Rank 2,Accepted
48,2870000,2009000,M,Rank 1,Accepted
34,1151000,874760,M,Rank 2,Accepted
32,1608000,1270320,M,Rank 1,Accepted
46,2732000,1994360,M,Rank 2,Accepted
50,3316000,2453840,M,Rank 1,Accepted
26,848000,686880,M,Rank 3,Accepted
55,3089000,2131410,M,Rank 1,Accepted
47,2608000,1825600,M,Rank 3,Accepted
41,2408000,1757840,M,Rank 2,Accepted
55,3024000,2147040,M,Rank 1,Accepted
28,827000,686410,M,Rank 3,Accepted
28,871000,731640,M,Rank 2,Accepted
30,728000,618800,M,Rank 2,Accepted
37,1321000,1043590,M,Rank 2,Accepted
57,2748000,1841160,M,Rank 1,Accepted
37,1153000,899340,M,Rank 2,Accepted
48,2562000,1639680,M,Rank 1,Accepted
44,2634000,1712100,M,Rank 3,Accepted
35,1526000,1175020,M,Rank 1,Accepted
56,2982000,1878660,M,Rank 2,Accepted
52,3218000,1962980,M,Rank 1,Accepted
29,806000,677040,M,Rank 3,Accepted
38,2017000,1230370,M,Rank 1,Accepted
53,3375000,2362500,M,Rank 1,Accepted
36,1124000,887960,M,Rank 2,Accepted
59,2802000,1877340,M,Rank 1,Accepted
39,1944000,1283040,M,Rank 1,Accepted
30,1030000,844600,M,Rank 2,Accepted
36,1402000,1065520,M,Rank 2,Accepted
60,2732000,1994360,M,Rank 1,Accepted
51,3320000,2058400,M,Rank 1,Accepted
51,3131000,2035150,M,Rank 2,Accepted
55,2973000,2140560,M,Rank 1,Accepted
53,3321000,2158650,M,Rank 2,Accepted
36,1798000,1384460,M,Rank 1,Accepted
29,919000,753580,M,Rank 2,Accepted
47,2676000,1926720,M,Rank 2,Accepted
41,2422000,1792280,M,Rank 3,Accepted
46,2612000,1854520,M,Rank 1,Accepted
48,2743000,1837810,M,Rank 1,Accepted
42,2124000,1316880,M,Rank 1,Accepted
27,929000,761780,M,Rank 3,Accepted
59,3267000,2156220,M,Rank 1,Accepted
50,3008000,1834880,M,Rank 3,Accepted
60,3277000,2130050,M,Rank 1,Accepted
37,1635000,1275300,M,Rank 1,Accepted
55,3360000,2049600,M,Rank 2,Accepted
40,2091000,1505520,M,Rank 1,Accepted
42,1820000,1274000,M,Rank 1,Accepted
25,448000,376320,M,Rank 2,Accepted
55,3044000,2222120,M,Rank 3,Accepted
57,3321000,2324700,M,Rank 2,Accepted
29,1083000,909720,M,Rank 2,Accepted
58,2639000,1847300,M,Rank 2,Accepted
44,2658000,1993500,M,Rank 1,Accepted
51,2998000,2068620,M,Rank 1,Accepted
49,2779000,1973090,M,Rank 1,Accepted
25,428000,350960,M,Rank 2,Accepted
31,746000,604260,M,Rank 2,Accepted
59,3312000,2252160,M,Rank 1,Accepted
59,3173000,1935530,M,Rank 1,Accepted
61,2800000,1708000,M,Rank 1,Accepted
56,3114000,1899540,M,Rank 2,Accepted
39,1924000,1250600,M,Rank 2,Accepted
35,1209000,955110,M,Rank 2,Accepted
51,3309000,2117760,M,Rank 1,Accepted
60,3176000,1969120,M,Rank 1,Accepted
37,1230000,934800,M,Rank 2,Accepted
26,977000,830450,M,Rank 3,Accepted
50,3220000,2254000,M,Rank 1,Accepted
41,1818000,1218060,M,Rank 1,Accepted
28,945000,803250,M,Rank 2,Accepted
48,2516000,1861840,M,Rank 1,Accepted
53,3354000,2381340,M,Rank 3,Accepted
45,2867000,1949560,M,Rank 3,Accepted
41,2417000,1667730,M,Rank 1,Accepted
48,2758000,1765120,M,Rank 1,Accepted
59,3140000,1978200,M,Rank 1,Accepted
49,2513000,1759100,M,Rank 1,Accepted
57,2801000,1736620,M,Rank 1,Accepted
41,2099000,1574250,M,Rank 1,Accepted
25,526000,436580,M,Rank 2,Accepted
37,1238000,940880,M,Rank 2,Accepted
43,1984000,1230080,M,Rank 1,Accepted
57,2755000,1900950,M,Rank 1,Accepted
32,1465000,1157350,M,Rank 2,Accepted
44,2849000,1766380,M,Rank 1,Accepted
55,3258000,2085120,M,Rank 1,Accepted
42,2042000,1531500,M,Rank 3,Accepted
25,541000,438210,M,Rank 2,Accepted
33,1333000,1013080,M,Rank 2,Accepted
38,2069000,1427610,M,Rank 1,Accepted
52,3071000,2211120,M,Rank 2,Accepted
41,2111000,1498810,M,Rank 1,Accepted
47,2709000,1977570,M,Rank 1,Accepted
56,3381000,2096220,M,Rank 1,Accepted
35,1356000,1071240,M,Rank 2,Accepted
28,778000,637960,M,Rank 2,Accepted
35,1496000,1166880,M,Rank 2,Accepted
60,2991000,1944150,M,Rank 1,Accepted
31,974000,827900,M,Rank 2,Accepted
56,3247000,2143020,M,Rank 1,Accepted
43,1887000,1320900,M,Rank 2,Accepted
52,3299000,2111360,M,Rank 2,Accepted
57,2611000,1618820,M,Rank 1,Accepted
31,749000,636650,M,Rank 2,Accepted
39,2332000,1679040,M,Rank 2,Accepted
49,2548000,1809080,M,Rank 2,Accepted
55,3085000,2221200,M,Rank 1,Accepted
28,895000,760750,M,Rank 2,Accepted
36,1518000,1199220,M,Rank 1,Accepted
33,1628000,1269840,M,Rank 1,Accepted
31,1081000,875610,M,Rank 2,Accepted
27,704000,577280,M,Rank 2,Accepted
48,2632000,1605520,M,Rank 2,Accepted
44,2698000,1861620,M,Rank 1,Accepted
41,2072000,1429680,M,Rank 1,Accepted
25,555000,449550,M,Rank 2,Accepted
57,3096000,2291040,M,Rank 1,Accepted
36,1127000,867790,M,Rank 2,Accepted
43,2196000,1471320,M,Rank 2,Accepted
32,1723000,1326710,M,Rank 2,Accepted
26,709000,581380,M,Rank 2,Accepted
41,1952000,1190720,M,Rank 2,Accepted
51,3370000,2460100,M,Rank 1,Accepted
52,3145000,2201500,M,Rank 1,Accepted
50,3265000,2252850,M,Rank 2,Accepted
53,2996000,1977360,M,Rank 1,Accepted
29,847000,719950,M,Rank 2,Accepted
43,2359000,1486170,M,Rank 3,Accepted
46,2845000,1906150,M,Rank 1,Accepted
28,908000,762720,M,Rank 2,Accepted
37,1764000,1358280,M,Rank 1,Accepted
48,2806000,1739720,M,Rank 1,Accepted
50,3186000,1975320,M,Rank 3,Accepted
55,3000000,2250000,M,Rank 1,Accepted
50,3316000,2022760,M,Rank 1,Accepted
49,2630000,1762100,M,Rank 1,Accepted
35,1527000,1191060,M,Rank 3,Accepted
33,1170000,889200,M,Rank 2,Accepted
60,2834000,2040480,M,Rank 1,Accepted
34,1421000,1122590,M,Rank 2,Accepted
31,975000,799500,M,Rank 2,Accepted
39,1944000,1185840,M,Rank 2,Accepted
54,3214000,2024820,M,Rank 3,Accepted
31,895000,733900,M,Rank 2,Accepted
43,1876000,1256920,M,Rank 2,Accepted
33,1755000,1333800,M,Rank 2,Accepted
53,3351000,2513250,M,Rank 3,Accepted
60,3399000,2311320,M,Rank 2,Accepted
51,3127000,2345250,M,Rank 1,Accepted
29,1073000,879860,M,Rank 3,Accepted
57,3080000,1971200,M,Rank 1,Accepted
33,1336000,1015360,M,Rank 2,Accepted
56,3000000,2070000,M,Rank 1,Accepted
58,3029000,2059720,M,Rank 1,Accepted
37,1185000,912450,M,Rank 2,Accepted
44,2854000,2026340,M,Rank 2,Accepted
55,3221000,2190280,M,Rank 2,Accepted
54,3281000,2099840,M,Rank 1,Accepted
30,942000,781860,M,Rank 2,Accepted
35,1187000,925860,M,Rank 3,Accepted
47,2680000,1849200,M,Rank 1,Accepted
52,2981000,1818410,M,Rank 2,Accepted
58,2864000,1976160,M,Rank 2,Accepted
25,368000,312800,M,Rank 2,Accepted
54,3175000,2222500,M,Rank 2,Accepted
31,827000,678140,M,Rank 2,Accepted
46,2572000,1671800,M,Rank 1,Accepted
60,2709000,1787940,M,Rank 1,Accepted
47,2676000,1739400,M,Rank 1,Accepted
34,1791000,1396980,M,Rank 2,Accepted
28,717000,580770,M,Rank 2,Accepted
46,2741000,1863880,M,Rank 1,Accepted
33,1750000,1382500,M,Rank 1,Accepted
58,2637000,1687680,M,Rank 2,Accepted
25,401000,324810,M,Rank 3,Accepted
29,981000,794610,M,Rank 2,Accepted
55,3064000,2144800,M,Rank 2,Accepted
59,3317000,2156050,M,Rank 1,Accepted
33,1192000,941680,M,Rank 2,Accepted
46,2731000,2020940,M,Rank 3,Accepted
59,2869000,2008300,M,Rank 2,Accepted
27,705000,585150,M,Rank 2,Accepted
37,1375000,1086250,M,Rank 2,Accepted
31,810000,680400,M,Rank 2,Accepted
40,2090000,1358500,M,Rank 3,Accepted
57,2772000,1746360,M,Rank 1,Accepted
46,2581000,1884130,M,Rank 2,Accepted
44,2779000,1861930,M,Rank 1,Accepted
31,914000,740340,M,Rank 2,Accepted
37,1639000,1262030,M,Rank 1,Accepted
42,1911000,1337700,M,Rank 2,Accepted
50,3166000,2121220,M,Rank 1,Accepted
60,2985000,1970100,M,Rank 1,Accepted
33,1407000,1083390,M,Rank 2,Accepted
41,2217000,1507560,M,Rank 1,Accepted
28,981000,814230,M,Rank 2,Accepted
53,2986000,2000620,M,Rank 1,Accepted
37,1710000,1350900,M,Rank 1,Accepted
42,1902000,1236300,M,Rank 1,Accepted
29,786000,660240,M,Rank 2,Accepted
39,2328000,1722720,M,Rank 1,Accepted
37,1427000,1113060,M,Rank 2,Accepted
45,2513000,1859620,M,Rank 1,Accepted
53,3237000,2136420,M,Rank 3,Accepted
45,2792000,2038160,M,Rank 1,Accepted
37,1253000,964810,M,Rank 2,Accepted
52,3316000,2321200,M,Rank 1,Accepted
39,2046000,1514040,M,Rank 1,Accepted
54,3072000,2119680,M,Rank 1,Accepted
58,3199000,1951390,M,Rank 1,Accepted
30,767000,628940,M,Rank 3,Accepted
40,2262000,1447680,M,Rank 3,Accepted
43,2256000,1421280,M,Rank 1,Accepted
51,3291000,2369520,M,Rank 1,Accepted
43,2217000,1352370,M,Rank 1,Accepted
25,575000,471500,M,Rank 3,Accepted
25,487000,413950,M,Rank 2,Accepted
39,1927000,1329630,M,Rank 2,Accepted
50,2971000,2109410,M,Rank 1,Accepted
39,1920000,1171200,M,Rank 2,Accepted
59,3171000,2314830,M,Rank 3,Accepted
38,2364000,1536600,M,Rank 2,Accepted
54,3075000,2275500,M,Rank 2,Accepted
58,3254000,2375420,M,Rank 2,Accepted
32,1179000,907830,M,Rank 2,Accepted
37,1410000,1099800,M,Rank 2,Accepted
49,2757000,1736910,M,Rank 1,Accepted
30,1012000,839960,M,Rank 2,Accepted
52,2941000,2029290,M,Rank 1,Accepted
40,2264000,1381040,M,Rank 1,Accepted
36,1743000,1324680,M,Rank 1,Accepted
38,2369000,1753060,M,Rank 1,Accepted
31,955000,773550,M,Rank 2,Accepted
46,2548000,1707160,M,Rank 2,Accepted
46,2841000,2130750,M,Rank 2,Accepted
55,2961000,1806210,M,Rank 2,Accepted
47,2705000,1650050,M,Rank 1,Accepted
25,637000,522340,M,Rank 2,Accepted
39,2037000,1527750,M,Rank 2,Accepted
60,3377000,2498980,M,Rank 1,Accepted
25,524000,434920,M,Rank 2,Accepted
28,816000,669120,M,Rank 3,Accepted
50,2936000,2143280,M,Rank 1,Accepted
45,2505000,1528050,M,Rank 1,Accepted
28,735000,617400,M,Rank 3,Accepted
57,3041000,1946240,M,Rank 1,Accepted
37,1112000,856240,M,Rank 3,Accepted
40,2075000,1369500,M,Rank 1,Accepted
46,2569000,1669850,M,Rank 1,Accepted
44,2681000,1689030,M,Rank 1,Accepted
45,2559000,1791300,M,Rank 1,Accepted
35,1139000,888420,M,Rank 2,Accepted
26,1038000,851160,M,Rank 2,Accepted
55,3076000,1968640,M,Rank 3,Accepted
27,1010000,828200,M,Rank 2,Accepted
52,3398000,2072780,M,Rank 1,Accepted
46,2859000,2029890,M,Rank 1,Accepted
56,3153000,2080980,M,Rank 1,Accepted
49,2649000,1827810,M,Rank 2,Accepted
38,2428000,1699600,M,Rank 1,Accepted
43,1909000,1202670,M,Rank 1,Accepted
27,935000,794750,M,Rank 2,Accepted
39,1938000,1259700,M,Rank 3,Accepted
45,2591000,1943250,M,Rank 3,Accepted
55,3201000,2144670,M,Rank 1,Accepted
45,2854000,1798020,M,Rank 1,Accepted
56,3107000,1957410,M,Rank 1,Accepted
53,3232000,2294720,M,Rank 2,Accepted
31,918000,771120,M,Rank 2,Accepted
43,1954000,1445960,M,Rank 2,Accepted
60,2894000,1794280,M,Rank 3,Accepted
28,817000,661770,M,Rank 2,Accepted
25,509000,412290,M,Rank 2,Accepted
36,1300000,1001000,M,Rank 3,Accepted
30,913000,776050,M,Rank 2,Accepted
33,1749000,1381710,M,Rank 1,Accepted
58,3191000,2137970,M,Rank 2,Accepted
49,2679000,1955670,M,Rank 1,Accepted
54,3108000,1958040,M,Rank 1,Accepted
61,2831000,2038320,M,Rank 2,Accepted
54,3075000,1998750,M,Rank 1,Accepted
43,2227000,1380740,M,Rank 1,Accepted
32,1323000,1045170,M,Rank 2,Accepted
43,2233000,1362130,M,Rank 3,Accepted
45,2560000,1894400,M,Rank 2,Accepted
61,3399000,2379300,M,Rank 1,Accepted
42,2127000,1488900,M,Rank 1,Accepted
45,2724000,1988520,M,Rank 1,Accepted
38,2229000,1627170,M,Rank 1,Accepted
50,3224000,2353520,M,Rank 1,Accepted
26,984000,826560,M,Rank 2,Accepted
36,1302000,989520,M,Rank 2,Accepted
52,2938000,2174120,M,Rank 1,Accepted
52,3141000,1947420,M,Rank 1,Accepted
29,826000,693840,M,Rank 2,Accepted
39,1844000,1198600,M,Rank 3,Accepted
34,1365000,1064700,M,Rank 2,Accepted
35,1255000,966350,M,Rank 2,Accepted
30,706000,600100,M,Rank 2,Accepted
54,3182000,2036480,M,Rank 1,Accepted
60,3082000,1972480,M,Rank 2,Accepted
39,2267000,1518890,M,Rank 1,Accepted
50,3332000,2165800,M,Rank 1,Accepted
58,2721000,1904700,M,Rank 1,Accepted
35,1171000,901670,M,Rank 2,Accepted
58,2637000,1740420,M,Rank 1,Accepted
50,3060000,2295000,M,Rank 1,Accepted
36,1755000,1351350,M,Rank 2,Accepted
26,873000,715860,M,Rank 2,Accepted
29,826000,702100,M,Rank 3,Accepted
26,945000,803250,M,Rank 2,Accepted
27,781000,648230,M,Rank 2,Accepted
44,2712000,2034000,M,Rank 3,Accepted
59,2860000,2002000,M,Rank 1,Accepted
35,1588000,1238640,M,Rank 1,Accepted
48,2831000,1783530,M,Rank 1,Accepted
44,2703000,1648830,M,Rank 1,Accepted
52,3008000,2105600,M,Rank 1,Accepted
46,2730000,1883700,M,Rank 1,Accepted
34,1528000,1191840,M,Rank 1,Accepted
43,2487000,1566810,M,Rank 1,Accepted
39,2014000,1268820,M,Rank 2,Accepted
49,2874000,2126760,M,Rank 1,Accepted
58,2715000,1656150,M,Rank 3,Accepted
52,3282000,2428680,M,Rank 1,Accepted
54,3116000,1994240,M,Rank 1,Accepted
30,1086000,901380,M,Rank 2,Accepted
56,2970000,1900800,M,Rank 1,Accepted
28,883000,732890,M,Rank 2,Accepted
55,2933000,1818460,M,Rank 2,Accepted
30,934000,793900,M,Rank 2,Accepted
55,3260000,2445000,M,Rank 1,Accepted
60,2700000,1917000,M,Rank 2,Accepted
36,1488000,1130880,M,Rank 2,Accepted
48,2649000,1801320,M,Rank 1,Accepted
50,2946000,2121120,M,Rank 1,Accepted
33,1680000,1327200,M,Rank 1,Accepted
41,2168000,1452560,M,Rank 1,Accepted
26,743000,609260,M,Rank 2,Accepted
49,2855000,1855750,M,Rank 1,Accepted
35,1458000,1122660,M,Rank 2,Accepted
38,2347000,1572490,M,Rank 1,Accepted
58,2660000,1995000,M,Rank 1,Accepted
50,3351000,2044110,M,Rank 2,Accepted
35,1704000,1295040,M,Rank 1,Accepted
36,1373000,1084670,M,Rank 2,Accepted
35,1599000,1215240,M,Rank 3,Accepted
53,3031000,2273250,M,Rank 2,Accepted
58,3003000,2162160,M,Rank 1,Accepted
30,961000,778410,M,Rank 2,Accepted
52,3238000,2201840,M,Rank 1,Accepted
56,3327000,2229090,M,Rank 1,Accepted
25,591000,484620,M,Rank 2,Accepted
42,2207000,1478690,M,Rank 2,Accepted
53,3111000,2084370,M,Rank 2,Accepted
38,1869000,1383060,M,Rank 1,Accepted
42,2191000,1511790,M,Rank 1,Accepted
33,1189000,939310,M,Rank 2,Accepted
29,761000,624020,M,Rank 2,Accepted
55,3105000,2266650,M,Rank 2,Accepted
30,1079000,906360,M,Rank 3,Accepted
52,3057000,2292750,M,Rank 1,Accepted
50,3045000,1948800,M,Rank 1,Accepted
45,2668000,1920960,M,Rank 1,Accepted
37,1459000,1123430,M,Rank 2,Accepted
33,1721000,1359590,M,Rank 1,Accepted
36,1753000,1332280,M,Rank 1,Accepted
30,998000,828340,M,Rank 2,Accepted
41,2098000,1573500,M,Rank 2,Accepted
45,2756000,1846520,M,Rank 2,Accepted
29,926000,759320,M,Rank 2,Accepted
53,3127000,1970010,M,Rank 2,Accepted
43,2238000,1477080,M,Rank 2,Accepted
33,1654000,1257040,M,Rank 1,Accepted
34,1104000,850080,M,Rank 2,Accepted
34,1721000,1359590,M,Rank 1,Accepted
54,2928000,2108160,M,Rank 1,Accepted
25,659000,553560,M,Rank 2,Accepted
54,3364000,2388440,M,Rank 1,Accepted
35,1532000,1210280,M,Rank 1,Accepted
30,812000,665840,M,Rank 2,Accepted
55,3309000,2316300,M,Rank 2,Accepted
38,2246000,1414980,M,Rank 1,Accepted
54,3149000,2109830,M,Rank 1,Accepted
48,2520000,1864800,M,Rank 1,Accepted
29,980000,803600,M,Rank 2,Accepted
57,3317000,2388240,M,Rank 1,Accepted
57,2604000,1822800,M,Rank 1,Accepted
40,2449000,1640830,M,Rank 1,Accepted
36,1618000,1245860,M,Rank 2,Accepted
38,1949000,1247360,M,Rank 1,Accepted
34,1194000,931320,M,Rank 3,Accepted
45,2752000,2064000,M,Rank 1,Accepted
25,612000,507960,M,Rank 2,Accepted
55,3057000,1925910,M,Rank 1,Accepted
41,2007000,1304550,M,Rank 1,Accepted
49,2714000,1845520,M,Rank 3,Accepted
30,861000,697410,M,Rank 2,Accepted
38,2431000,1628770,M,Rank 2,Accepted
26,1047000,848070,M,Rank 2,Accepted
59,2908000,2181000,M,Rank 1,Accepted
58,3028000,2240720,M,Rank 1,Accepted
25,573000,469860,M,Rank 2,Accepted
58,3052000,1861720,M,Rank 1,Accepted
41,2313000,1642230,M,Rank 1,Accepted
25,663000,563550,M,Rank 2,Accepted
61,2672000,1923840,M,Rank 1,Accepted
