,Customer_id,pl_score,hl_score,cl_score,twl_score,cc_score
0,1000040,5,2,1,8,4
1,1000055,5,1,2,0,7
2,1000322,9,1,8,9,2
3,1000371,6,4,10,2,7
4,1000529,8,5,1,4,4
5,1000539,1,5,1,3,8
6,1000635,1,8,4,5,9
7,1000671,1,0,10,10,8
8,1000874,6,7,7,1,3
9,1000880,6,9,5,1,10
10,1000935,1,0,9,7,10
11,1001047,5,2,3,1,5
12,1001123,3,0,1,5,10
13,1001166,5,1,7,4,5
14,1001192,3,2,7,9,5
15,1001259,3,2,8,6,7
16,1001436,3,8,7,0,2
17,1001783,1,5,7,7,3
18,1001786,5,6,1,6,1
19,1001816,6,4,8,8,7
20,1002088,7,6,3,6,4
21,1002397,6,6,1,4,8
22,1002418,6,2,2,3,3
23,1002516,5,8,5,9,1
24,1002529,5,10,10,2,0
25,1002737,1,10,5,5,5
26,1002945,4,7,9,5,1
27,1003259,3,10,0,9,0
28,1003293,1,7,4,7,10
29,1003316,5,7,1,1,2
30,1003320,5,4,3,6,0
31,1003368,5,1,4,3,2
32,1003565,5,1,2,10,10
33,1003736,3,3,4,7,2
34,1003758,4,7,0,0,9
35,1003776,3,2,8,1,0
36,1003805,5,4,0,3,8
37,1003825,5,9,7,2,9
38,1003858,4,1,9,0,6
39,1004234,4,7,3,4,9
40,1004318,4,8,8,4,7
41,1004478,1,1,5,4,2
42,1004577,9,3,3,1,7
43,1004635,9,2,1,0,2
44,1004679,4,5,0,1,1
45,1004695,7,2,5,7,9
46,1004723,5,9,2,4,10
47,1004738,6,7,8,0,7
48,1005083,1,5,0,1,10
49,1005105,5,6,4,0,10
50,1005274,3,9,10,6,8
51,1005280,8,4,10,0,6
52,1005284,8,10,8,2,7
53,1005289,1,4,6,5,9
54,1005399,9,1,10,5,1
55,1005451,3,4,10,2,8
56,1005461,1,10,6,1,4
57,1005661,1,3,1,2,9
58,1005725,1,5,3,2,8
59,1005777,1,3,6,5,1
60,1005832,5,6,4,4,1
61,1006166,5,4,5,8,9
62,1006252,5,10,3,7,3
63,1006296,9,9,0,2,6
64,1006395,4,4,8,1,4
65,1006466,6,7,0,10,4
66,1006469,3,4,7,9,5
67,1006489,8,8,10,8,7
68,1006491,1,2,5,8,6
69,1006638,5,4,8,1,4
70,1006833,4,5,9,5,0
71,1006858,5,8,1,8,3
72,1006928,1,10,7,3,3
73,1007108,8,1,8,4,10
74,1007201,6,2,6,10,3
75,1007275,1,9,4,4,1
76,1007279,10,3,1,1,3
77,1007379,1,1,6,6,0
78,1007436,4,7,3,0,5
79,1007478,3,5,5,8,6
80,1007503,7,7,9,9,6
81,1007513,1,5,5,2,0
82,1007536,5,9,5,9,3
83,1007645,1,4,3,3,1
84,1007702,5,8,5,0,8
85,1007710,4,7,10,7,6
86,1007787,5,6,6,5,10
87,1007828,1,7,4,2,0
88,1007848,3,0,10,1,6
